system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Cu0.95Ag0.05_111,-0.596,2719.933,3729.82,-4.803,-3.985,1.291,0.856,106.538,84.103,-0.248,2.923,2.49,1.18,117.344,100.88,-6.669,2.361,2.216,1.507,-2.235
Ir0.2Cu0.8_111,-0.439,1836.167,1777.571,-3.984,-3.901,2.432,1.114,93.409,107.059,-4.854,1.331,2.729,2.992,129.679,54.018,-7.129,4.105,2.305,0.899,-1.556
Ir0.15Cu0.85_111,-0.487,2118.156,1652.827,-4.1,-3.894,2.157,1.057,89.18,104.945,-4.941,1.021,2.608,2.914,123.951,77.763,-7.074,4.304,2.323,1.082,-1.627
Ag0.3Au0.7_111,0.171,2566.384,1411.091,-5.566,-3.883,1.826,0.923,86.297,74.043,0.639,4.092,2.904,1.132,141.983,98.083,-7.63,3.646,1.42,1.381,-1.346
Ir0.25Cu0.75_111,-1.932,1362.062,2224.802,-3.936,-3.819,2.803,1.193,92.305,104.295,-4.742,1.511,2.945,2.989,129.432,52.109,-7.188,4.138,2.324,0.906,-1.456
Ag0.2Au0.8_111,0.206,2569.095,1360.93,-5.474,-3.792,1.901,0.892,86.617,82.046,0.613,4.059,2.835,1.148,89.057,103.737,-7.649,3.539,2.011,1.473,-1.328
Cu0.55Ag0.45_111,-0.016,1933.379,3471.908,-6.144,-3.749,1.673,0.958,102.959,67.561,0.286,4.092,2.976,1.05,114.595,97.872,-7.605,3.702,1.455,1.307,-1.69
Cu0.45Ag0.55_111,-0.534,2635.309,3460.104,-6.065,-3.734,1.458,0.868,100.977,65.997,0.151,3.593,2.913,0.988,118.394,104.642,-7.331,3.195,1.329,1.287,-1.819
Ag0.15Au0.85_111,0.2,2524.049,1294.331,-5.414,-3.72,1.96,0.854,84.989,87.064,0.579,4.053,2.782,1.162,157.481,111.746,-7.648,3.478,1.493,1.587,-1.334
Cu0.5Ag0.5_111,-0.368,2168.76,3180.771,-6.08,-3.704,1.63,0.917,99.977,65.772,0.306,4.089,2.993,1.032,113.31,98.163,-7.534,3.7,1.422,1.292,-1.668
Ag0.1Au0.9_111,0.064,2448.015,1303.612,-5.392,-3.703,1.972,0.864,83.532,87.105,0.588,4.052,2.765,1.16,157.109,110.759,-7.651,3.442,1.491,1.614,-1.326
Ir0.3Cu0.7_111,-1.806,1541.829,1829.812,-3.716,-3.698,2.821,1.136,96.957,102.376,-4.495,1.579,3.073,2.64,133.713,48.507,-7.131,4.408,2.294,0.89,-1.383
Ag0.05Au0.95_111,0.208,2367.064,1290.837,-5.346,-3.656,2.008,0.856,81.263,90.847,0.558,4.037,2.707,1.175,158.12,116.121,-7.651,3.311,1.516,1.714,-1.311
Cu0.4Ag0.6_111,0.144,2559.17,2657.812,-5.929,-3.624,1.695,0.863,100.653,64.931,0.345,4.029,3.001,1.027,116.812,100.675,-7.492,3.658,1.329,1.281,-1.635
Cu0.35Ag0.65_111,-0.417,2648.597,2474.616,-5.919,-3.595,1.738,0.832,101.304,66.048,0.333,4.054,2.947,1.019,119.021,103.659,-7.52,3.682,1.282,1.266,-1.635
Pt0.05Au0.95_111,0.089,2054.015,1497.554,-5.533,-3.52,1.956,1.257,85.409,76.617,0.802,3.999,2.742,0.953,167.493,122.713,-7.661,3.389,1.571,1.349,-1.315
Cu0.3Ag0.7_111,0.049,2894.101,1975.35,-5.818,-3.518,1.79,0.776,100.77,65.72,0.356,4.02,2.899,1.021,118.663,104.445,-7.514,3.655,1.214,1.263,-1.621
Cu0.25Ag0.75_111,-0.464,3150.45,1486.084,-5.75,-3.464,1.806,0.728,100.455,66.423,0.399,4.021,2.818,1.025,119.253,105.603,-7.482,3.665,1.163,1.25,-1.602
Cu0.2Ag0.8_111,-0.432,3285.428,1333.2,-5.741,-3.432,1.786,0.686,100.089,66.391,0.409,4.019,2.799,1.022,121.109,107.14,-7.449,3.666,1.147,1.235,-1.589
Cu0.15Ag0.85_111,0.081,3538.837,754.431,-5.665,-3.31,1.824,0.631,97.32,60.21,0.363,4.03,3.119,0.952,104.543,108.887,-7.438,3.659,1.009,1.23,-1.575
Rh0.75Ag0.25_111,-1.77,1018.727,1890.523,-5.939,-3.186,1.038,2.698,87.223,91.535,-3.478,1.916,3.214,1.585,119.427,56.593,-6.382,-4.187,1.183,2.852,-1.11
Ir0.2Au0.8_111,-0.015,1543.682,1107.709,-5.324,-3.149,2.183,2.877,76.702,73.246,-5.512,1.868,2.471,1.979,212.761,113.105,-6.936,3.823,2.055,0.997,-1.196
Ir0.25Au0.75_111,-0.376,1475.195,1067.619,-5.216,-3.131,2.265,2.954,81.368,87.808,-5.029,1.355,2.923,2.864,177.142,109.682,-7.511,3.893,1.616,1.003,-1.143
Ir0.3Au0.7_111,0.15,1261.827,1272.09,-5.437,-3.077,2.135,2.932,80.049,71.538,-5.322,2.217,2.606,1.889,176.709,101.001,-7.501,4.053,1.636,1.019,-1.122
Pd0.6Ag0.4_111,-1.085,2184.587,2467.335,-5.637,-2.906,1.429,1.579,61.447,98.821,-3.898,1.885,2.007,2.755,106.578,46.366,-6.441,-1.31,1.262,5.632,-1.735
Pd0.5Ag0.5_111,0.053,2611.169,2239.015,-5.66,-2.886,1.459,1.459,55.523,99.652,-3.807,1.701,1.976,2.756,103.657,50.607,-6.632,-1.849,1.151,5.419,-1.688
Pd0.4Ag0.6_111,0.095,2935.8,1964.645,-5.644,-2.854,1.534,1.288,49.401,100.368,-3.619,1.523,1.796,2.769,121.131,49.227,-6.861,-0.106,1.121,3.295,-1.628
Pd0.65Ag0.35_111,-1.112,2171.42,2414.292,-5.503,-2.816,1.518,1.528,62.577,98.534,-4.279,1.999,2.62,2.688,95.032,52.51,-6.612,-4.951,1.08,2.319,-1.719
Pd0.55Ag0.45_111,0.038,2420.502,2252.935,-5.561,-2.808,1.535,1.472,59.312,98.508,-4.339,1.863,2.738,2.681,101.677,48.253,-6.527,-1.495,1.313,5.322,-1.705
Pd0.45Ag0.55_111,0.065,2713.266,2032.986,-5.584,-2.801,1.577,1.373,51.668,99.519,-3.731,1.658,2.057,2.738,95.958,52.86,-6.866,-5.02,1.028,2.354,-1.678
Pd0.3Ag0.7_111,0.085,3110.272,1430.807,-5.581,-2.758,1.683,1.033,45.36,96.746,-6.237,1.287,1.312,2.775,118.106,80.666,-7.007,4.296,1.105,0.891,-1.54
Pd0.35Ag0.65_111,0.079,3019.446,1679.147,-5.578,-2.751,1.658,1.186,46.781,99.694,-3.822,1.516,2.373,2.7,119.734,49.728,-6.943,-0.213,1.126,3.34,-1.589
Pd0.25Ag0.75_111,-0.861,3309.317,1181.853,-5.594,-2.725,1.684,0.956,50.837,96.74,-6.101,1.128,1.457,2.804,116.718,86.734,-7.076,4.168,1.111,0.9,-1.506
Pd0.2Ag0.8_111,0.117,3383.846,983.662,-5.597,-2.682,1.723,0.894,42.823,96.257,-6.301,1.13,1.366,2.65,115.824,88.02,-7.151,4.084,1.074,0.922,-1.508
Pd0.15Ag0.85_111,-0.783,3574.424,751.25,-5.602,-2.669,1.733,0.731,45.278,95.375,-6.28,1.074,1.411,2.537,107.48,93.491,-7.221,3.964,1.024,0.951,-1.456
Pd0.1Ag0.9_111,0.076,3670.015,574.792,-5.604,-2.628,1.743,0.674,51.209,95.061,-5.898,0.707,1.932,3.167,107.827,93.697,-7.252,3.876,1.025,0.966,-1.412
Pt0.1Ag0.9_111,0.079,3605.888,670.477,-5.561,-2.553,1.734,0.64,53.93,94.085,-5.856,0.748,1.975,3.215,116.453,95.64,-7.298,3.914,0.996,0.982,-1.403
Pt0.35Ag0.65_111,0.009,2845.29,1235.75,-5.459,-2.536,1.734,1.448,51.208,94.935,-3.861,1.679,2.751,2.722,142.78,68.235,-7.21,4.053,1.32,0.833,-1.446
Rh0.25Cu0.75_111,-0.384,3427.274,246.883,-3.871,-2.503,1.695,4.581,91.77,109.786,-4.656,1.412,2.496,2.951,132.292,46.372,-6.643,4.257,2.074,0.836,-1.625
Pd0.35Au0.65_111,-0.866,2174.999,1440.865,-4.988,-2.5,2.171,1.189,67.708,93.756,-4.809,1.789,2.839,2.868,131.24,71.214,-7.305,3.839,1.704,0.866,-1.56
Pt0.3Ag0.7_111,0.012,2943.015,1081.684,-5.465,-2.489,1.739,1.33,43.542,90.919,-3.576,1.49,2.73,2.618,136.415,92.772,-7.193,4.283,1.278,0.96,-1.427
Pd0.4Au0.6_111,-0.975,2149.963,1669.269,-5.025,-2.488,2.11,1.165,69.055,95.072,-4.714,1.84,2.824,2.828,139.121,65.676,-7.229,3.937,1.574,0.838,-1.586
Pt0.45Ag0.55_111,-1.055,2547.991,1381.618,-5.35,-2.459,1.796,1.346,59.011,93.566,-4.039,1.84,2.75,2.735,128.999,62.595,-7.18,4.204,1.315,0.749,-1.438
Pt0.4Ag0.6_111,0.099,2771.851,1297.574,-5.367,-2.434,1.779,1.216,53.916,94.857,-3.934,1.737,2.795,2.707,147.103,65.252,-7.149,4.133,1.348,0.812,-1.471
Pt0.25Ag0.75_111,0.055,3168.152,874.093,-5.491,-2.393,1.772,1.188,90.284,45.088,1.398,4.279,2.555,0.81,135.454,94.255,-7.246,4.142,1.189,0.965,-1.441
Pt0.2Ag0.8_111,0.087,3259.29,747.328,-5.506,-2.386,1.782,1.166,46.416,90.951,-6.24,1.322,1.486,2.519,132.082,95.011,-7.271,4.068,1.2,0.974,-1.426
