system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Pd0.9Ir0.1_111,-2.183,2517.622,1254.818,-2.329,-0.342,2.432,0.867,84.592,104.339,-2.603,3.537,2.587,2.153,151.443,38.754,-4.8,1.003,1.449,2.669,-1.508
Ir0.4Au0.6_111,-2.131,1958.674,959.375,-3.868,-0.394,2.455,1.749,89.998,92.248,-3.401,3.071,3.599,2.431,152.441,64.433,-6.578,4.952,1.401,0.768,-0.987
Ir0.65Pt0.35_111,-2.072,1733.066,1004.732,-3.213,0.167,3.38,1.217,133.721,58.479,-3.422,2.076,3.729,1.122,218.861,45.702,-6.923,-3.255,1.785,0.966,-0.415
Pd0.65Ir0.35_111,-2.056,2261.284,885.86,-2.517,-0.18,2.841,0.925,102.949,97.268,-2.861,2.89,3.036,1.67,169.823,38.169,-5.613,1.697,1.659,1.795,-1.104
Ir0.25Cu0.75_111,-1.932,1362.062,2224.802,-2.48,-2.363,2.803,1.193,92.305,104.295,-3.286,2.967,2.945,2.989,129.432,52.109,-5.732,5.594,2.324,0.906,-1.456
Ir0.55Pt0.45_111,-1.917,1630.493,842.099,-3.045,0.093,3.51,1.074,119.203,83.952,-3.402,2.796,3.694,1.48,200.022,42.142,-6.856,2.927,1.766,1.457,-0.49
Pd0.25Ir0.75_111,-1.914,1835.852,879.162,-2.929,0.238,3.331,1.186,132.701,64.119,-3.203,2.227,3.65,1.208,201.941,43.1,-6.645,-3.004,1.841,1.011,-0.472
Ir0.8Au0.2_111,-1.914,1749.613,987.724,-3.425,0.237,3.371,1.3,134.829,53.146,-3.314,1.995,3.93,1.048,217.806,54.295,-6.975,-2.696,1.808,1.887,-0.387
Ir0.75Au0.25_111,-1.913,1668.598,953.678,-3.515,0.131,3.21,1.46,119.92,80.278,-3.208,2.709,3.961,1.386,196.469,49.266,-6.892,-2.401,1.768,2.667,-0.515
Ir0.65Ag0.35_111,-1.913,2045.556,1290.97,-4.187,-0.402,2.22,1.99,108.877,81.828,-2.857,2.664,4.002,1.402,160.619,49.701,-6.483,-2.065,1.447,6.261,-0.774
Pd0.3Ir0.7_111,-1.894,1928.611,880.987,-2.873,0.182,3.252,1.149,130.577,67.083,-3.166,2.206,3.546,1.22,200.942,42.97,-6.493,-2.933,1.821,0.951,-0.591
Ir0.75Ag0.25_111,-1.873,1828.686,1253.774,-3.999,-0.174,2.506,1.9,116.766,86.116,-2.961,2.794,3.908,1.417,166.524,47.133,-6.583,-2.146,1.502,6.554,-0.583
Ir0.45Au0.55_111,-1.871,1834.565,983.238,-3.893,-0.39,2.5,1.868,93.194,93.234,-3.301,3.253,3.69,2.353,178.641,59.446,-6.594,2.733,1.636,2.454,-0.917
Rh0.4Ag0.6_111,-1.866,2893.421,1542.216,-4.017,-0.635,1.718,1.489,62.433,102.279,-1.125,3.586,3.343,2.027,111.473,55.844,-5.327,-0.788,1.096,5.42,-1.431
Ir0.4Pt0.6_111,-1.866,1715.076,854.843,-2.985,-0.037,3.397,1.032,114.52,83.237,-3.387,2.678,3.566,1.486,198.25,43.794,-6.725,2.848,1.747,1.392,-0.638
Pd0.45Ir0.55_111,-1.861,1970.434,729.119,-2.605,0.005,3.158,0.984,111.572,93.65,-3.003,2.961,3.36,1.637,173.005,36.456,-6.109,-2.764,1.81,0.894,-0.823
Ir0.7Pt0.3_111,-1.849,1689.977,1020.192,-3.253,0.209,3.409,1.232,135.267,58.669,-3.422,2.123,3.775,1.11,219.348,45.868,-6.97,-3.278,1.787,0.973,-0.348
Pd0.4Ir0.6_111,-1.848,1873.236,667.351,-2.632,0.07,3.278,0.997,113.138,89.782,-3.077,2.979,3.502,1.633,169.397,36.33,-6.328,-2.845,1.891,0.946,-0.702
Ir0.45Pt0.55_111,-1.848,1679.706,827.872,-3.002,0.014,3.447,1.055,116.215,83.307,-3.399,2.721,3.618,1.483,198.421,43.274,-6.782,2.866,1.756,1.422,-0.575
Pd0.15Ir0.85_111,-1.84,1740.046,932.272,-3.065,0.32,3.401,1.265,139.096,62.921,-3.251,2.3,3.742,1.142,215.417,44.713,-6.791,-3.122,1.8,1,-0.345
Ir0.8Pt0.2_111,-1.828,1647.405,995.514,-3.25,0.288,3.465,1.258,138.76,58.833,-3.413,2.199,3.818,1.099,220.228,46.096,-7.014,-3.273,1.8,0.989,-0.267
Rh0.8Ir0.2_111,-1.828,2140.781,1318.703,-2.683,0.157,2.971,1.052,129.7,33.706,-2.821,1.563,3.168,1.027,190.112,48.56,-5.629,-2.343,1.665,1.028,-0.647
Rh0.25Pd0.75_111,-1.823,2512.623,1314.977,-2.364,-0.265,2.442,0.899,83.651,87.515,-2.285,2.957,2.2,1.976,167.716,38.081,-4.704,1.003,1.222,2.828,-1.438
Ir0.9Cu0.1_111,-1.816,1780.8,643.622,-2.755,0.461,3.564,1.102,143.77,59.526,-3.237,2.264,3.854,1.091,214.641,44.984,-6.89,-3.133,1.89,0.971,-0.294
Ir0.85Ag0.15_111,-1.812,1801.991,1107.998,-3.492,0.277,3.073,1.462,136.918,56.459,-3.149,2.186,3.883,1.08,214.029,52.544,-6.804,-2.573,1.794,1.862,-0.345
Ir0.3Cu0.7_111,-1.806,1541.829,1829.812,-2.333,-2.315,2.821,1.136,96.957,102.376,-3.112,2.962,3.073,2.64,133.713,48.507,-5.748,5.791,2.294,0.89,-1.383
Rh0.35Ag0.65_111,-1.803,3013.646,1571.038,-4.021,-0.642,1.673,1.44,61.701,103.184,-1.143,3.521,3.28,2.028,124.364,59.329,-5.403,-2.701,1.082,2.316,-1.444
Rh0.3Cu0.7_111,-1.798,3249.204,241.109,-2.196,-0.552,1.788,4.513,92.485,109.614,-2.924,3.226,2.538,2.919,135.128,43.475,-4.988,5.999,1.976,0.882,-1.608
Ir0.35Pt0.65_111,-1.788,1731.524,871.03,-2.978,-0.062,3.369,1.019,113.368,83.271,-3.378,2.658,3.541,1.478,197.989,44.425,-6.695,2.823,1.739,1.386,-0.667
