system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Cu0.1Ag0.9_111,0.105 ,2129.277 ,1306.326 ,-6.056 ,-4.748 ,1.560 ,1.827 ,79.986 ,53.813 ,0.353 ,4.036 ,3.066 ,0.901 ,95.007 ,94.479 ,-7.396 ,3.659 ,0.875 ,1.179 ,-1.568 
Cu0.8Ag0.2_111,-0.473 ,949.022 ,3347.457 ,-5.989 ,-3.921 ,1.900 ,1.044 ,87.312 ,65.099 ,0.423 ,4.244 ,2.632 ,1.041 ,87.082 ,79.140 ,-7.618 ,3.834 ,1.901 ,1.282 ,-1.768 
Ag0.35Au0.65_111,0.078 ,2302.549 ,1187.583 ,-5.552 ,-3.914 ,1.799 ,0.791 ,73.796 ,65.281 ,0.611 ,4.099 ,2.857 ,1.067 ,127.601 ,95.393 ,-7.580 ,3.638 ,1.360 ,1.419 ,-1.367 
Ir0.1Cu0.9_111,-2.138 ,2140.673 ,1155.395 ,-4.172 ,-3.905 ,1.937 ,0.879 ,74.507 ,88.225 ,-5.009 ,0.852 ,2.453 ,2.806 ,102.998 ,72.043 ,-7.052 ,4.246 ,2.252 ,0.981 ,-1.699 
Ag0.3Au0.7_111,0.171 ,2188.348 ,1180.750 ,-5.499 ,-3.857 ,1.834 ,0.772 ,71.039 ,54.733 ,0.619 ,3.886 ,2.854 ,1.002 ,128.448 ,91.086 ,-7.608 ,3.630 ,1.328 ,1.418 ,-1.346 
Rh0.25Cu0.75_111,-0.384 ,2280.279 ,960.379 ,-3.856 ,-3.798 ,2.051 ,0.839 ,76.399 ,91.045 ,-4.611 ,1.323 ,2.508 ,2.725 ,110.997 ,42.953 ,-6.642 ,4.276 ,1.997 ,0.709 ,-1.625 
Ag0.25Au0.75_111,0.096 ,2161.045 ,1154.896 ,-5.445 ,-3.787 ,1.877 ,0.754 ,70.215 ,59.590 ,0.589 ,3.876 ,2.799 ,1.022 ,130.087 ,91.784 ,-7.618 ,3.569 ,1.368 ,1.462 ,-1.332 
Ag0.2Au0.8_111,0.206 ,2169.019 ,1188.418 ,-5.433 ,-3.773 ,1.889 ,0.760 ,71.467 ,71.283 ,0.616 ,4.068 ,2.807 ,1.082 ,133.179 ,95.445 ,-7.630 ,3.504 ,1.388 ,1.505 ,-1.328 
Cu0.55Ag0.45_111,-0.016 ,1623.817 ,3108.457 ,-6.113 ,-3.736 ,1.671 ,0.856 ,84.956 ,59.454 ,0.282 ,4.102 ,2.933 ,0.992 ,98.467 ,84.430 ,-7.608 ,3.693 ,1.374 ,1.273 ,-1.690 
Rh0.15Au0.85_111,0.127 ,936.197 ,1792.862 ,-6.165 ,-3.704 ,1.566 ,2.226 ,60.038 ,71.623 ,-5.309 ,1.168 ,2.491 ,2.494 ,133.678 ,96.398 ,-7.521 ,3.862 ,1.529 ,1.186 ,-1.284 
Ir0.3Cu0.7_111,-1.806 ,1264.891 ,1606.169 ,-3.718 ,-3.698 ,2.797 ,1.066 ,79.803 ,85.095 ,-4.494 ,1.627 ,3.049 ,2.645 ,111.368 ,44.745 ,-7.129 ,4.421 ,2.242 ,0.794 ,-1.383 
Cu0.5Ag0.5_111,-0.368 ,1823.557 ,2885.494 ,-6.063 ,-3.695 ,1.609 ,0.813 ,82.449 ,57.983 ,0.304 ,4.102 ,2.958 ,0.969 ,97.012 ,84.150 ,-7.547 ,3.703 ,1.337 ,1.245 ,-1.668 
Ag0.1Au0.9_111,0.064 ,2065.886 ,1042.665 ,-5.293 ,-3.690 ,2.084 ,0.693 ,68.940 ,75.571 ,0.590 ,4.059 ,2.738 ,1.095 ,135.157 ,97.059 ,-7.638 ,3.401 ,1.410 ,1.613 ,-1.326 
Ir0.2Au0.8_111,-0.015 ,769.883 ,1720.840 ,-6.153 ,-3.657 ,1.592 ,2.568 ,67.647 ,75.504 ,-5.229 ,1.291 ,2.652 ,2.423 ,153.965 ,105.273 ,-7.541 ,3.794 ,1.484 ,0.948 ,-1.196 
Ag0.05Au0.95_111,0.208 ,1983.204 ,1174.205 ,-5.328 ,-3.641 ,1.979 ,0.741 ,67.040 ,70.704 ,0.528 ,3.888 ,2.640 ,1.077 ,135.595 ,98.143 ,-7.650 ,3.296 ,1.422 ,1.689 ,-1.311 
Cu0.4Ag0.6_111,0.144 ,2147.215 ,2450.927 ,-5.916 ,-3.617 ,1.670 ,0.748 ,82.986 ,57.262 ,0.339 ,4.040 ,2.968 ,0.966 ,101.139 ,87.460 ,-7.503 ,3.652 ,1.239 ,1.240 ,-1.635 
Cu0.35Ag0.65_111,-0.417 ,2217.657 ,2311.162 ,-5.910 ,-3.592 ,1.710 ,0.713 ,83.496 ,58.173 ,0.325 ,4.066 ,2.922 ,0.956 ,102.524 ,89.248 ,-7.539 ,3.683 ,1.183 ,1.220 ,-1.635 
Cu0.3Ag0.7_111,0.049 ,2420.464 ,1894.898 ,-5.818 ,-3.523 ,1.751 ,0.656 ,82.954 ,57.535 ,0.340 ,4.033 ,2.903 ,0.953 ,86.344 ,91.317 ,-7.563 ,3.637 ,0.988 ,1.235 ,-1.621 
Cu0.25Ag0.75_111,-0.464 ,2633.900 ,1465.051 ,-5.754 ,-3.475 ,1.764 ,0.601 ,82.965 ,58.710 ,0.397 ,4.031 ,2.775 ,0.963 ,88.753 ,91.837 ,-7.512 ,3.658 ,0.950 ,1.212 ,-1.602 
Pd0.15Au0.85_111,0.043 ,1529.264 ,1519.634 ,-5.731 ,-3.471 ,1.745 ,1.649 ,58.273 ,70.799 ,-5.332 ,0.873 ,2.481 ,2.629 ,138.509 ,92.186 ,-7.510 ,3.612 ,1.464 ,1.239 ,-1.401 
Cu0.2Ag0.8_111,-0.432 ,2749.939 ,1350.946 ,-5.749 ,-3.450 ,1.738 ,0.561 ,82.681 ,58.791 ,0.409 ,4.027 ,2.749 ,0.962 ,92.365 ,93.368 ,-7.471 ,3.658 ,0.944 ,1.196 ,-1.589 
Rh0.6Ag0.4_111,-1.773 ,1461.374 ,1444.831 ,-5.781 ,-3.384 ,1.279 ,2.070 ,68.167 ,77.432 ,-2.975 ,1.543 ,2.374 ,1.717 ,99.172 ,52.070 ,-6.547 ,-4.699 ,1.017 ,2.568 ,-1.213 
Cu0.15Ag0.85_111,0.081 ,2952.434 ,799.253 ,-5.682 ,-3.370 ,1.763 ,0.483 ,81.765 ,58.618 ,0.451 ,4.018 ,2.691 ,0.961 ,93.712 ,94.015 ,-7.428 ,3.660 ,0.907 ,1.179 ,-1.575 
Cu0.4Au0.6_111,-0.292 ,1500.069 ,2102.976 ,-5.250 ,-3.365 ,2.336 ,0.766 ,75.726 ,62.525 ,0.493 ,4.046 ,2.912 ,1.073 ,102.149 ,75.642 ,-7.850 ,4.037 ,1.782 ,0.883 ,-1.501 
Ir0.25Au0.75_111,-0.376 ,1164.752 ,1001.744 ,-5.364 ,-3.223 ,2.158 ,2.738 ,68.069 ,71.274 ,-5.219 ,1.762 ,2.628 ,1.949 ,150.991 ,99.385 ,-7.511 ,3.883 ,1.526 ,0.941 ,-1.143 
Ir0.1Au0.9_111,-0.213 ,1481.009 ,610.676 ,-5.302 ,-3.184 ,2.123 ,2.895 ,62.747 ,68.558 ,-5.472 ,0.878 ,2.469 ,3.005 ,145.671 ,112.111 ,-7.617 ,3.596 ,1.488 ,1.301 ,-1.199 
Ir0.3Au0.7_111,0.150 ,1105.358 ,1717.371 ,-5.906 ,-3.039 ,1.753 ,2.172 ,70.066 ,61.297 ,-5.036 ,0.845 ,2.792 ,1.318 ,150.511 ,89.294 ,-7.508 ,4.065 ,1.536 ,0.942 ,-1.122 
Pd0.6Ag0.4_111,-1.085 ,1865.803 ,2070.228 ,-5.607 ,-2.873 ,1.419 ,1.492 ,52.531 ,64.752 ,-3.784 ,0.978 ,1.689 ,2.274 ,84.095 ,48.677 ,-6.635 ,-4.933 ,0.886 ,2.478 ,-1.735 
Pd0.5Ag0.5_111,0.053 ,2221.230 ,1896.091 ,-5.628 ,-2.846 ,1.450 ,1.351 ,47.503 ,67.362 ,-3.678 ,0.885 ,1.605 ,2.326 ,88.295 ,48.416 ,-6.774 ,-4.622 ,0.885 ,2.686 ,-1.688 
Pd0.4Ag0.6_111,0.095 ,2478.349 ,1684.298 ,-5.636 ,-2.838 ,1.499 ,1.212 ,41.274 ,82.635 ,-3.540 ,1.500 ,1.560 ,2.779 ,106.081 ,41.862 ,-6.867 ,4.267 ,1.027 ,0.646 ,-1.628 
Rh0.3Cu0.7_111,-1.798 ,2646.545 ,287.925 ,-3.809 ,-2.769 ,1.687 ,3.989 ,76.538 ,90.278 ,-4.537 ,1.615 ,2.496 ,2.902 ,113.458 ,40.239 ,-6.596 ,4.411 ,1.901 ,0.760 ,-1.608 
Pd0.65Ag0.35_111,-1.112 ,1856.989 ,2015.406 ,-5.446 ,-2.765 ,1.531 ,1.420 ,52.781 ,66.333 ,0.655 ,3.027 ,1.687 ,1.804 ,83.321 ,45.595 ,-6.600 ,-4.837 ,0.981 ,2.451 ,-1.719 
Pd0.45Ag0.55_111,0.065 ,2295.759 ,1726.718 ,-5.536 ,-2.748 ,1.587 ,1.229 ,42.889 ,81.989 ,-3.636 ,1.629 ,1.791 ,2.753 ,84.032 ,45.396 ,-6.859 ,-5.014 ,0.919 ,2.431 ,-1.678 
Pd0.3Ag0.7_111,0.085 ,2606.243 ,1266.987 ,-5.575 ,-2.747 ,1.653 ,0.924 ,40.953 ,79.841 ,-6.162 ,1.266 ,1.318 ,2.770 ,93.828 ,75.149 ,-7.034 ,4.309 ,0.941 ,0.795 ,-1.540 
Pd0.25Ag0.75_111,-0.861 ,2780.851 ,1063.581 ,-5.596 ,-2.733 ,1.639 ,0.868 ,44.257 ,79.677 ,-5.986 ,1.095 ,1.515 ,2.823 ,93.545 ,80.672 ,-7.101 ,4.178 ,0.954 ,0.809 ,-1.506 
Pd0.35Ag0.65_111,0.079 ,2533.224 ,1448.221 ,-5.566 ,-2.728 ,1.634 ,1.087 ,38.387 ,82.389 ,-3.717 ,1.473 ,2.034 ,2.723 ,94.714 ,78.959 ,-6.970 ,-2.570 ,0.970 ,3.426 ,-1.589 
Pd0.15Ag0.85_111,-0.783 ,3006.532 ,720.897 ,-5.605 ,-2.711 ,1.683 ,0.656 ,78.880 ,41.781 ,1.078 ,4.093 ,2.484 ,0.704 ,95.354 ,84.532 ,-7.212 ,3.972 ,0.921 ,0.865 ,-1.456 
Pd0.2Ag0.8_111,0.117 ,2841.332 ,897.432 ,-5.600 ,-2.699 ,1.677 ,0.809 ,43.919 ,79.821 ,-6.070 ,1.017 ,1.492 ,2.784 ,92.808 ,79.576 ,-7.158 ,4.093 ,0.902 ,0.825 ,-1.508 
