system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Rh0.05Pt0.95_111,-1.318 ,1395.856 ,1332.372 ,-1.313 ,-4.143 ,1.459 ,1.514 ,68.680 ,67.775 ,3.005 ,-4.250 ,1.079 ,3.162 ,132.756 ,38.812 ,-7.282 ,2.889 ,1.567 ,1.081 ,-1.018 
Rh0.2Ir0.8_111,-1.732 ,2189.100 ,750.128 ,-2.289 ,0.417 ,2.159 ,0.740 ,100.250 ,17.861 ,-3.222 ,-6.380 ,3.671 ,1.040 ,157.685 ,37.614 ,-7.050 ,-3.337 ,1.741 ,0.985 ,-0.265 
Pt0.75Cu0.25_111,-1.161 ,1708.810 ,333.500 ,-2.436 ,0.277 ,3.687 ,0.805 ,64.055 ,53.719 ,-4.402 ,1.090 ,3.099 ,1.604 ,112.784 ,34.304 ,-7.328 ,4.396 ,1.803 ,0.615 ,-1.274 
Pd0.65Ag0.35_111,-1.112 ,1770.422 ,1635.284 ,-2.747 ,-5.433 ,1.387 ,1.527 ,61.199 ,45.607 ,2.908 ,-4.189 ,1.858 ,2.651 ,72.483 ,39.431 ,-6.605 ,-5.151 ,0.896 ,2.336 ,-1.719 
Pd0.6Ag0.4_111,-1.085 ,1820.095 ,1643.809 ,-2.867 ,-5.607 ,1.468 ,1.403 ,55.756 ,46.196 ,0.941 ,-3.788 ,2.230 ,1.674 ,77.009 ,42.730 ,-6.625 ,-4.894 ,0.825 ,2.549 ,-1.735 
Pt0.8Cu0.2_111,-1.265 ,1527.879 ,351.619 ,-2.917 ,-1.565 ,3.443 ,0.819 ,63.979 ,55.949 ,-4.379 ,1.373 ,3.106 ,1.732 ,116.299 ,38.183 ,-7.342 ,4.445 ,1.733 ,0.602 ,-1.216 
Ir0.8Cu0.2_111,-1.717 ,1442.595 ,380.195 ,-3.057 ,0.037 ,3.275 ,0.888 ,99.944 ,47.952 ,-3.610 ,1.665 ,3.806 ,0.957 ,152.329 ,32.706 ,-7.190 ,-3.523 ,1.854 ,0.890 ,-0.475 
Ir0.85Cu0.15_111,-0.173 ,1321.389 ,499.290 ,-3.060 ,0.256 ,3.464 ,0.722 ,101.135 ,48.699 ,-3.346 ,1.896 ,3.556 ,0.983 ,157.017 ,35.163 ,-7.229 ,-3.527 ,1.795 ,0.941 ,-0.359 
Ir0.7Cu0.3_111,-1.832 ,1517.457 ,265.796 ,-3.114 ,-0.266 ,3.018 ,0.844 ,91.777 ,45.940 ,-3.824 ,1.291 ,3.507 ,1.527 ,136.271 ,28.188 ,-7.115 ,-3.576 ,1.933 ,0.752 ,-0.660 
Pt0.6Cu0.4_111,-1.145 ,1952.799 ,535.423 ,-3.148 ,-6.318 ,1.851 ,1.255 ,65.751 ,61.437 ,2.209 ,-4.429 ,1.840 ,3.073 ,102.178 ,63.686 ,-7.301 ,4.584 ,1.911 ,0.722 ,-1.363 
