system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Ag0.5Au0.5_111,0.119 ,2065.438 ,1146.435 ,-5.656 ,-4.062 ,1.693 ,0.774 ,57.158 ,49.462 ,0.016 ,4.290 ,2.437 ,0.921 ,109.810 ,82.354 ,-7.552 ,3.722 ,1.234 ,1.316 ,-1.369 
Ag0.45Au0.55_111,0.006 ,2090.277 ,1084.164 ,-5.609 ,-4.006 ,1.729 ,0.757 ,57.087 ,51.754 ,-0.009 ,4.271 ,2.418 ,0.922 ,110.908 ,85.442 ,-7.539 ,3.683 ,1.283 ,1.340 ,-1.369 
Ag0.4Au0.6_111,0.153 ,2053.650 ,1085.701 ,-5.553 ,-3.935 ,1.775 ,0.727 ,56.060 ,56.356 ,-0.095 ,4.241 ,2.308 ,0.956 ,113.890 ,83.576 ,-7.571 ,3.682 ,1.280 ,1.374 ,-1.366 
Cu0.8Ag0.2_111,-0.473 ,840.626 ,2988.294 ,-5.938 ,-3.910 ,1.917 ,1.005 ,56.495 ,75.082 ,-4.586 ,0.698 ,1.216 ,1.856 ,74.342 ,67.699 ,-7.672 ,3.849 ,1.846 ,1.256 ,-1.768 
Ag0.35Au0.65_111,0.078 ,2032.369 ,1072.542 ,-5.530 ,-3.901 ,1.794 ,0.720 ,63.626 ,53.961 ,0.801 ,3.858 ,2.370 ,0.999 ,114.227 ,86.102 ,-7.571 ,3.632 ,1.315 ,1.404 ,-1.367 
Ir0.2Cu0.8_111,-0.439 ,1308.291 ,1419.944 ,-4.001 ,-3.888 ,2.386 ,1.011 ,69.112 ,76.170 ,-4.726 ,1.594 ,2.759 ,1.949 ,94.550 ,46.416 ,-7.123 ,4.126 ,2.222 ,0.745 ,-1.556 
Ir0.15Cu0.85_111,-0.487 ,1514.967 ,1344.033 ,-4.129 ,-3.869 ,2.092 ,0.959 ,64.403 ,75.370 ,-4.941 ,1.016 ,2.543 ,2.873 ,94.199 ,58.973 ,-6.639 ,4.344 ,1.774 ,0.918 ,-1.627 
Cu0.75Ag0.25_111,-0.436 ,965.915 ,3012.387 ,-6.033 ,-3.860 ,1.838 ,0.957 ,85.322 ,74.995 ,-3.714 ,0.460 ,1.798 ,2.627 ,77.616 ,71.373 ,-7.657 ,3.788 ,1.697 ,1.265 ,-1.750 
Ag0.3Au0.7_111,0.171 ,1923.608 ,1082.745 ,-5.486 ,-3.847 ,1.822 ,0.707 ,52.732 ,59.697 ,-0.235 ,4.211 ,2.100 ,0.971 ,115.257 ,82.519 ,-7.594 ,3.613 ,1.289 ,1.422 ,-1.346 
Cu0.7Ag0.3_111,-0.411 ,1061.024 ,2919.271 ,-5.958 ,-3.826 ,1.847 ,0.926 ,75.167 ,58.370 ,0.458 ,4.174 ,2.580 ,1.005 ,78.218 ,71.866 ,-7.641 ,3.751 ,1.657 ,1.278 ,-1.738 
