system,CO-atop,d-hi1,d-hi2,d-pos1,d-pos2,d-wd1,d-wd2,p-hi1,p-hi2,p-pos1,p-pos2,p-wi1,p-wi2,s-hi1,s-hi2,s-pos1,s-pos2,s-wi1,s-wi2,energy,efermi
Ir0.2Cu0.8_111,-0.439 ,1419.944 ,1308.291 ,-3.888 ,-4.001 ,1.011 ,2.386 ,76.170 ,69.112 ,1.594 ,-4.726 ,1.949 ,2.759 ,94.550 ,46.416 ,-7.123 ,4.126 ,2.222 ,0.745 ,-289.877 ,-1.556 
Ag0.4Au0.6_111,0.153 ,2053.650 ,1085.701 ,-5.553 ,-3.935 ,1.775 ,0.727 ,56.356 ,56.060 ,4.241 ,-0.095 ,0.956 ,2.308 ,113.890 ,83.576 ,-7.571 ,3.682 ,1.280 ,1.374 ,-195.781 ,-1.366 
Pd0.3Pt0.7_111,-0.824 ,4182.621 ,1442.196 ,2.225 ,-3.931 ,0.997 ,2.669 ,69.760 ,64.145 ,2.994 ,-4.239 ,1.020 ,2.943 ,120.810 ,29.718 ,-7.088 ,0.252 ,1.592 ,1.858 ,-350.261 ,-1.245 
Pd0.5Pt0.5_111,-0.946 ,3854.549 ,1550.552 ,2.175 ,-3.915 ,1.012 ,2.549 ,61.422 ,61.103 ,3.056 ,-3.685 ,0.913 ,1.778 ,114.964 ,30.041 ,-6.885 ,0.189 ,1.575 ,1.832 ,-337.308 ,-1.352 
Ag0.3Au0.7_111,0.171 ,1923.608 ,1082.745 ,-5.486 ,-3.847 ,1.822 ,0.707 ,59.697 ,52.732 ,4.211 ,-0.235 ,0.971 ,2.100 ,115.257 ,82.519 ,-7.594 ,3.613 ,1.289 ,1.422 ,-198.244 ,-1.346 
Rh0.3Cu0.7_111,-1.798 ,1972.585 ,791.558 ,-3.816 ,-3.743 ,2.114 ,0.716 ,67.952 ,57.548 ,-4.485 ,0.393 ,2.498 ,1.991 ,99.836 ,37.372 ,-6.586 ,4.444 ,1.871 ,0.660 ,-292.931 ,-1.608 
Ag0.2Au0.8_111,0.206 ,1905.504 ,1102.415 ,-5.427 ,-3.765 ,1.872 ,0.703 ,65.310 ,52.148 ,4.171 ,-0.345 ,0.980 ,1.923 ,118.958 ,86.572 ,-7.617 ,3.474 ,1.349 ,1.514 ,-200.144 ,-1.328 
Cu0.5Ag0.5_111,-0.368 ,2693.025 ,1614.665 ,-6.053 ,-3.687 ,0.766 ,1.601 ,77.624 ,71.838 ,-3.294 ,0.483 ,1.512 ,2.592 ,86.129 ,75.999 ,-7.560 ,3.682 ,1.285 ,1.243 ,-195.947 ,-1.668 
Cu0.3Ag0.7_111,0.049 ,2128.956 ,1816.861 ,-5.827 ,-3.532 ,1.722 ,0.592 ,72.158 ,51.761 ,0.330 ,4.043 ,2.909 ,0.918 ,95.206 ,81.587 ,-7.475 ,3.623 ,1.111 ,1.227 ,-187.216 ,-1.621 
Pt0.1Au0.9_111,0.088 ,1400.806 ,1090.099 ,-5.561 ,-3.369 ,1.894 ,1.481 ,77.565 ,54.120 ,4.126 ,-5.360 ,0.827 ,2.520 ,119.955 ,100.402 ,-7.513 ,3.470 ,0.936 ,1.280 ,-223.760 ,-1.276 
