system,CO-ontop,d-dos height1,d-dos height2,d-dos height3,d-dos position1,d-dos position2,d-dos position3,d-dos width1,d-dos width2,d-dos width3,p-dos height1,p-dos height2,p-dos height3,p-dos position1,p-dos position2,p-dos position3,p-dos width1,p-dos width2,p-dos width3,s-dos height1,s-dos height2,s-dos height3,s-dos position1,s-dos position2,s-dos position3,s-dos width1,s-dos width2,s-dos width3
Ag_100,-0.05734462,286.4763879,276.8420196,183.0622397,-3.082445506,-4.293530592,-5.577866869,0.578744267,0.85357173,0.455704132,10.65197681,9.822562221,8.990222245,6.014194275,0.746297103,5.228375883,0.292498192,0.648808702,0.274396581,15.65341506,12.84026845,9.990592555,-5.824543992,7.516305742,5.954545825,0.592842943,0.397239018,0.271427221
Ag_110,0.11858733,296.1595875,280.5069413,128.4852125,-5.042566088,-3.845606223,-6.348378881,1.042349822,0.476021214,0.491641517,11.25709879,8.639265218,8.402348814,0.416117815,1.942650084,3.864019524,0.346680659,0.480093029,0.323844133,14.42655331,9.175830265,7.628718094,-6.530424682,4.395127761,-1.16247072,0.555934773,0.733298679,0.389985451
Au_100,-0.08886484,227.8152856,146.553162,131.2411959,-1.573599533,-3.316848769,-2.762692583,0.830062527,0.302746973,0.452570427,12.57631874,10.81720683,8.876932918,6.148378958,4.666783571,1.263928674,0.514243339,0.442140443,0.275202414,16.16207902,15.39985257,12.30644637,6.174686597,-5.859226609,3.737931804,0.29039454,1.055812313,0.280444955
Au_110,0.09484388,205.012647,157.592293,145.0083203,-2.256700734,-3.472502478,-4.837512124,0.54047415,0.890520546,0.525813105,20.32528451,8.808271632,8.720149479,4.634141727,2.414661032,1.038147475,0.356371057,0.418373209,0.647538478,17.30211916,13.57366258,11.1966137,4.561024816,-6.242848803,-6.941121152,0.486982022,0.634880672,0.303170113
Au_111,0.16386934,205.9665578,179.6379537,161.6837336,-2.84752105,-3.719122353,-5.265195045,0.471757495,0.670728103,0.774542917,12.27738439,11.73270291,11.44979202,1.089383102,5.660610564,3.603232951,0.310236431,0.424058175,0.441021755,17.45845937,17.22987467,16.27787894,2.758085457,-7.616324046,-6.850573605,0.38830866,0.337548143,0.284715493
Cu_100,-0.78145671,325.3683504,288.2802288,124.6274204,-1.883340553,-2.906592699,-4.20121979,0.42131838,0.769751625,0.473252144,11.53141892,10.91753474,10.6963588,5.018663044,0.420556184,6.169592326,0.416160864,0.508282195,0.370164312,13.32006805,11.33261048,9.005790244,-4.687988272,-6.675590204,4.916081416,0.613771663,0.3367523,0.377872586
Cu_110,-0.50980993,337.1846952,293.2138833,106.5293169,-2.646176159,-3.691749621,-5.02762369,0.427932758,0.833477662,0.662080914,11.3950486,10.41882664,10.36666799,0.096672635,3.923452619,2.820347674,0.328892541,0.325292636,0.317464118,11.61254609,9.50249176,7.57087687,-5.410371933,4.562185294,-7.173657491,0.560332742,0.669660704,0.351453066
Cu_111,-0.83108561,313.910985,274.1143024,28.92356402,-4.260503351,-3.229617624,-1.542197775,1.248139591,0.323197303,0.26387954,23.87597523,14.67982664,13.99695409,2.354423201,0.519682564,0.077515474,0.271996733,0.250314578,0.301933161,17.30947968,11.91804477,11.19440792,3.866531226,-6.719264787,4.826611971,0.266027747,0.263384246,0.276168598
Ir_100,-1.6906026,131.9390815,94.70849025,85.52245542,-0.11459135,-1.808344088,2.884064413,0.710593779,0.44701355,1.587594644,16.10481946,13.13009587,12.19771452,6.4428739,-0.592844772,0.007431793,0.320533229,0.539437117,0.308583399,21.20755352,18.82254129,11.69836381,-4.972437341,-4.004881639,-3.03353139,0.342238242,0.402789694,0.62321975
Ir_111,-1.87854565,144.6452574,129.9598909,119.3410038,-1.025676648,-2.519847616,0.456345608,0.331891101,0.827747707,0.816465416,22.29079094,16.41105062,14.95070617,-1.026749639,4.536823757,-2.695171248,0.358715894,0.364966462,0.452792617,31.61908878,26.25402201,13.28274471,-5.726694132,-6.72647579,-8.267557432,0.299109754,0.335200653,0.281530578
Pd_110,-1.17370873,257.0358972,207.3716148,180.0473198,-0.623488315,-1.351038329,-3.400514372,0.495790488,0.361135825,0.79665061,12.28560308,8.329159769,7.618794456,2.98975519,4.498174319,-2.734765829,0.506429666,0.238754441,0.990330379,16.56209786,5.155789929,4.601861484,-5.070876776,1.816639584,-3.311469527,0.731845402,0.976359691,0.861140101
Pd_111,-1.56669592,256.832972,211.5800427,209.7547002,-1.121265823,-3.303885071,-1.794310721,0.431295755,0.453124104,0.379889361,13.19191906,12.10194349,7.984748339,2.34760369,3.241722533,-3.37510692,0.398571912,0.387572557,0.348040733,18.94954212,10.21726945,6.895695055,-5.476983002,-6.664013494,-1.011519861,0.531508482,0.236157591,0.322392653
Pt_100,-1.45046435,146.7030925,145.231013,96.47827585,0.776927023,-1.421165062,1.806997625,0.821654432,0.743494889,0.368067456,11.35701122,10.58508871,8.517772278,4.518084587,-1.216929528,4.131021201,0.252924468,0.451110248,0.7749387,14.92207092,12.90351327,11.15236601,-5.503582061,-4.703023001,-4.219771311,0.508473687,0.251019396,0.398927376
