system,CO-ontop,d-dos height,,d-dos position,,d-dos width,,p-dos height,,p-dos position,,p-dos width,,s-dos height,,s-dos position,,s-dos width,
Ag0.2Au0.8_111,0.2593,1872.9303,512.6607,1.1093,-5.7792,2.3438,1.7466,17.096,14.8573,0.5539,3.2768,1.1156,1.6123,24.2331,19.8852,-7.7868,3.3774,0.9592,1.5017
Ag0.5Au0.5_111,0.2005,3303.3995,524.2732,1.2762,-5.7731,2.0015,1.7513,17.7179,15.3316,0.5806,3.2897,1.1653,1.4918,29.227,20.6253,-7.7553,3.4043,1.1789,1.5116
Ag0.8Au0.2_111,0.2899,327.7674,577.7094,-4.5147,-5.9991,0.7179,1.5846,16.0077,15.4781,-1.1852,1.1936,0.8538,1.1969,28.4718,20.7652,-7.6773,3.4858,1.0122,1.2563
Cu0.2Ag0.8_111,1.0896,2170.6547,739.8224,-0.46,-3.6378,1.1464,0.7321,20.4096,17.2823,0.7088,2.833,0.9111,1.2581,23.0826,16.1859,-7.5855,3.2785,1.166,1.1404
Cu0.2Au0.8_111,0.696,304.6636,615.4819,-5.7549,-3.5203,2.051,0.733,18.4236,15.227,0.4446,3.2884,1.1895,1.5729,23.8221,21.3797,-8.03,3.5124,1.7477,1.427
Cu0.5Ag0.5_111,0.7303,418.3946,746.1556,-6.3879,-3.8615,1.4395,0.7453,20.2294,15.8659,0.2723,-1.5047,1.1011,0.6237,24.5432,19.45,-7.8138,3.4295,1.1121,1.2633
Cu0.5Au0.5_111,1.1198,293.5536,609.6818,-5.6331,-3.5749,2.1677,0.773,20.2277,17.2141,0.7385,2.7847,1.2472,0.7646,22.0277,17.0083,-7.9782,3.2049,1.8786,1.3749
Ir0.2Ag0.8_111,2.1208,435.6424,251.5946,-5.3587,-1.7318,1.7717,1.8192,20.4689,14.222,2.621,-5.6683,1.1678,1.8996,23.62,11.8624,-7.29,-4.8325,1.121,3.7921
Ir0.2Au0.8_111,0.1242,1059.1628,364.1088,2.3701,-5.0179,2.0599,2.2903,18.0544,16.4265,4.7144,1.5397,1.34,1.038,32.1735,24.2832,-7.6307,4.133,1.4176,1.4758
Ir0.2Pt0.8_111,1.3483,285.5745,264.8596,-3.9482,-0.7888,1.9388,1.3382,16.7526,14.5756,3.2141,-5.9373,1.5999,2.2245,33.9623,9.692,-7.5154,3.4916,1.652,1.0248
Ir0.5Cu0.5_111,1.8309,364.1211,217.4686,-3.5148,-1.0697,1.0897,1.2181,17.3644,16.5078,-3.2889,-5.5148,1.1014,2.3084,36.8562,7.2467,-6.3824,3.5652,2.599,1.2033
Ir0.5Pt0.5_111,1.8994,276.404,232.9416,-3.7554,-0.0139,1.6483,0.9399,17.5544,17.033,3.6438,-2.9114,1.2886,0.8326,34.4522,9.0363,-7.479,3.9136,1.7005,1.0569
Ir0.8Ag0.2_111,0.0801,260.5603,210.4562,-4.3047,-0.9245,2.2406,1.0254,19.2543,17.2389,-3.5117,2.9107,3.0626,1.2389,34.3322,8.542,-7.2955,-3.2777,1.5365,1.1105
Ir0.8Au0.2_111,1.905,260.9021,220.0125,-4.0102,-0.719,2.4616,1.1572,17.5974,16.5568,3.0838,-4.0731,1.5861,1.0264,34.4171,9.6354,-7.5305,3.3141,1.6667,1.2658
Ir0.8Cu0.2_111,0.4285,364.4936,217.7658,-3.5178,-1.0779,1.0869,1.2161,17.2813,16.4924,-3.2919,-5.512,1.1012,2.3106,32.421,7.2527,-7.1645,3.5552,1.8896,1.2148
Ir0.8Pt0.2_111,1.8994,276.404,232.9416,-3.7554,-0.0139,1.6483,0.9399,17.5544,17.033,3.6438,-2.9114,1.2886,0.8326,34.4522,9.0363,-7.479,3.9136,1.7005,1.0569
Pd0.2Ag0.8_111,1.4259,588.964,222.2332,-5.6958,-3.1386,1.5939,0.4661,18.6434,12.1038,1.4528,4.0602,1.4978,0.806,23.0881,21.3574,-7.1572,4.2919,0.8136,0.9387
Pd0.2Ir0.8_111,1.0282,349.6219,317.2056,-3.9373,-1.2843,1.4444,1.3359,16.5497,16.0423,-3.4105,2.7023,1.3528,1.3049,32.2256,7.4591,-7.0285,-3.3069,1.5445,0.8014
Pd0.5Ag0.5_111,1.1989,376.2611,346.0803,-4.1959,-2.4012,1.5036,0.8151,16.7264,12.2536,2.4805,-3.9556,1.7927,1.6682,20.4441,18.7679,-6.6454,5.4601,0.9603,0.7641
Pd0.5Pt0.5_111,1.1836,434.6193,406.7856,-4.0355,-1.9552,1.4555,0.9409,17.7978,15.1699,2.7784,-3.7719,1.3179,1.7053,30.12,9.6038,-6.7546,0.9094,1.3449,0.8764
Pd0.8Ag0.2_111,1.1949,376.2638,345.806,-4.1958,-2.401,1.505,0.8148,16.7275,12.2511,2.4803,-3.9556,1.7919,1.6686,20.4488,18.7539,-6.6454,5.462,0.9601,0.768
Pd0.8Au0.2_111,1.2157,371.9404,323.925,-4.039,-2.2086,1.665,0.8149,15.8322,13.7148,2.1812,-3.8295,1.5252,1.447,20.211,15.897,-6.957,5.4357,1.0238,0.8876
Pd0.8Cu0.2_111,0.8422,458.559,416.391,-3.9918,-2.4815,0.9975,0.8806,17.552,12.7466,2.3959,-3.7354,1.7889,1.2518,26.2978,17.6805,-6.56,5.4954,1.2569,0.8455
Pd0.8Ir0.2_111,1.0836,392.817,238.1693,-4.0255,-1.5718,2.52,0.8768,17.857,16.4033,3.186,-3.7355,1.2331,1.8528,31.5398,8.371,-6.7615,1.1907,1.3507,0.9895
Pd0.8Pt0.2_111,1.184,434.6062,406.5935,-4.0355,-1.9554,1.456,0.9412,17.7965,15.1704,2.7767,-3.7721,1.3193,1.7053,30.1251,9.6017,-6.7545,0.9089,1.3444,0.8769
Pt0.2Cu0.8_111,2.3239,498.1628,18.7682,-3.4078,1.8017,2.0763,1.0348,15.8391,14.763,3.1086,-4.6136,1.315,2.7316,22.2205,11.9699,-7.0658,4.9591,2.1762,0.7925
Pt0.5Au0.5_111,2.0913,333.6823,308.4731,-5.0287,-2.2097,2.2939,0.9107,15.7862,15.7205,4.4633,1.8571,1.1806,1.7456,28.2556,19.36,-7.644,3.8176,1.5327,1.5407
Rh0.2Au0.8_111,2.4577,309.9756,245.145,-4.0287,-1.5324,2.2403,0.9291,19.4908,13.0886,2.003,-3.7486,2.0565,2.9285,25.3268,10.6328,-7.263,-4.2586,1.5467,1.2132
Rh0.2Cu0.8_111,2.1979,583.1372,23.9536,-3.3601,2.2457,2.2534,1.1155,23.9244,18.9711,2.4401,-4.135,0.8308,2.4639,24.1521,8.4035,-6.3781,-1.7358,1.4336,6.0805
Rh0.2Ir0.8_111,1.6566,284.6727,227.7632,-3.584,-1.0872,1.3054,1.3864,18.6386,17.4027,-2.8654,3.9463,1.5719,1.3946,33.8398,8.2361,-7.165,-2.8156,1.6983,0.8818
Rh0.2Pd0.8_111,1.9502,384.1891,364.532,-3.8391,-1.547,1.4897,1.017,16.116,14.8,3.4693,-3.5879,1.0646,2.1729,35.8562,7.3387,-5.9482,-4.1031,1.2187,3.676
Rh0.2Pt0.8_111,1.4427,324.5668,311.7389,-4.0353,-1.301,1.869,1.0919,16.5418,14.6864,2.9052,-3.5953,1.5393,1.2317,31.3128,8.491,-7.3533,3.0256,1.6032,1.1092
Rh0.5Au0.5_111,1.8021,334.8034,319.1355,-3.5856,-1.2398,1.9172,0.9737,18.8267,16.6128,-3.3235,2.2082,1.9244,1.1276,24.2421,9.3073,-7.004,-4.8384,1.1982,3.4163
Rh0.5Pd0.5_111,1.8624,386.08,368.1027,-3.6414,-1.2139,1.5728,1.0634,17.9633,17.2054,3.7404,-3.3446,1.0521,2.2287,34.3575,7.769,-6.2872,1.908,1.1136,1.0193
Rh0.5Pt0.5_111,1.5227,338.7063,321.1538,-3.5762,-0.9826,1.822,1.0815,18.0167,16.9005,-3.214,3.7701,1.7406,1.251,39.8886,7.7295,-6.0162,1.8661,1.9658,1.0037
Rh0.8Au0.2_111,0.2355,334.0843,318.0018,-3.5884,-1.2388,1.9282,0.9733,18.7781,16.5797,-3.3243,2.2121,1.9351,1.1337,24.223,9.2757,-7.0058,-4.8337,1.2015,3.4238
Rh0.8Cu0.2_111,1.7646,505.7975,377.0404,-3.5389,-1.5344,1.0913,0.8925,19.1256,18.2657,-3.2502,3.5318,1.4625,1.0178,33.8464,7.6627,-6.2954,-3.3609,1.3091,0.9685
